date,kWh
02/02/2024,"1,847"
02/03/2024,"4,314"
02/04/2024,"1,273"
02/05/2024,"1,383"
02/06/2024,"3,457"
02/07/2024,"4,186"
02/08/2024,987
02/09/2024,"2,177"
02/10/2024,"2,892"
02/11/2024,"2,323"
02/12/2024,"4,699"
02/13/2024,"4,821"
02/14/2024,"1,116"
02/15/2024,"2,988"
02/16/2024,"1,592"
02/17/2024,"2,758"
02/18/2024,764
02/19/2024,"1,865"
02/20/2024,"3,593"
02/21/2024,"1,731"
02/22/2024,"2,250"
02/23/2024,"4,380"
02/24/2024,"2,894"
02/25/2024,"3,602"
02/26/2024,"4,001"
02/27/2024,"10,226"
02/28/2024,"4,074"
02/29/2024,"1,136"
03/01/2024,"5,019"
03/02/2024,"9,416"
03/03/2024,"5,555"
03/04/2024,"9,832"
03/05/2024,"1,645"
03/06/2024,"8,215"
03/07/2024,"10,843"
03/08/2024,"12,211"
03/09/2024,"8,625"
03/10/2024,"4,202"
03/11/2024,"1,737"
03/12/2024,"11,289"
03/13/2024,"4,535"
03/14/2024,"13,548"
03/15/2024,"10,974"
03/16/2024,"8,784"
03/17/2024,"4,960"
03/18/2024,"13,548"
03/19/2024,"10,966"
03/20/2024,"6,435"
03/21/2024,"3,865"
03/22/2024,"2,749"
03/23/2024,"11,444"
03/24/2024,"5,294"
03/25/2024,"15,001"
03/26/2024,"10,368"
03/27/2024,"10,175"
03/28/2024,"9,452"
03/29/2024,"11,759"
03/30/2024,"2,040"
03/31/2024,"6,858"
04/01/2024,"10,129"
04/02/2024,"8,393"
04/03/2024,"6,191"
04/04/2024,"14,127"
04/05/2024,"11,927"
04/06/2024,"13,752"
04/07/2024,"17,496"
04/08/2024,"10,957"
04/09/2024,"5,877"
04/10/2024,"19,544"
04/11/2024,"4,974"
04/12/2024,"17,274"
04/13/2024,"16,224"
04/14/2024,"18,538"
04/15/2024,"6,389"
04/16/2024,"8,111"
04/17/2024,"9,840"
04/18/2024,"13,169"
04/19/2024,"12,314"
04/20/2024,"12,496"
04/21/2024,"16,179"
04/22/2024,"14,107"
04/23/2024,"15,885"
04/24/2024,"13,617"
04/25/2024,"8,732"
04/26/2024,"18,202"
04/27/2024,"9,381"
04/28/2024,"7,785"
04/29/2024,"19,386"
04/30/2024,"14,325"
05/01/2024,"21,286"
05/02/2024,"20,520"
05/03/2024,"3,274"
05/04/2024,"13,616"
05/05/2024,"23,107"
05/06/2024,"17,556"
05/07/2024,"19,990"
05/08/2024,"7,440"
05/09/2024,"17,047"
05/10/2024,"19,296"
05/11/2024,"22,388"
05/12/2024,"21,794"
05/13/2024,"17,894"
05/14/2024,"17,696"
05/15/2024,"15,274"
05/16/2024,"13,107"
05/17/2024,"10,129"
05/18/2024,"21,633"
05/19/2024,"20,245"
05/20/2024,"8,420"
05/21/2024,"15,897"
05/22/2024,"10,468"
05/23/2024,"20,183"
05/24/2024,"9,213"
05/25/2024,"7,187"
05/26/2024,"11,691"
05/27/2024,"19,931"
05/28/2024,"11,798"
05/29/2024,"16,075"
05/30/2024,"13,242"
05/31/2024,"14,695"
06/01/2024,"4,243"
06/02/2024,"13,243"
06/03/2024,"13,853"
06/04/2024,"9,751"
06/05/2024,"22,356"
06/06/2024,"17,411"
06/07/2024,"22,994"
06/08/2024,"13,236"
06/09/2024,"16,094"
06/10/2024,"6,136"
06/11/2024,"17,233"
06/12/2024,"16,196"
06/13/2024,"17,819"
06/14/2024,"8,620"
06/15/2024,"13,531"
06/16/2024,"17,253"
06/17/2024,"23,207"
06/18/2024,"9,377"
06/19/2024,"22,830"
06/20/2024,"17,456"
06/21/2024,"6,052"
06/22/2024,"21,757"
06/23/2024,"24,454"
06/24/2024,"22,861"
06/25/2024,"23,425"
06/26/2024,"23,422"
06/27/2024,"21,355"
06/28/2024,"19,088"
06/29/2024,"21,206"
06/30/2024,"16,107"
07/01/2024,"15,226"
07/02/2024,"12,847"
07/03/2024,"12,136"
07/04/2024,"20,407"
07/05/2024,"7,339"
07/06/2024,"13,185"
07/07/2024,"13,961"
07/08/2024,"17,708"
07/09/2024,"14,150"
07/10/2024,"18,735"
07/11/2024,"19,852"
07/12/2024,"4,649"
07/13/2024,"7,948"
07/14/2024,"19,809"
07/15/2024,"18,392"
07/16/2024,"12,678"
07/17/2024,"16,760"
07/18/2024,"20,423"
07/19/2024,"16,323"
07/20/2024,"21,034"
07/21/2024,"9,338"
07/22/2024,"15,005"
07/23/2024,"15,004"
07/24/2024,"22,377"
07/25/2024,"10,880"
07/26/2024,"17,068"
07/27/2024,"18,954"
07/28/2024,"22,366"
07/29/2024,"22,685"
07/30/2024,"21,906"
07/31/2024,"17,853"
08/01/2024,"11,663"
08/02/2024,"19,151"
08/03/2024,"13,623"
